unit_id	source_id	kind	label	source_location	source_data	route	action	search_key	mapping_hint	mapping_record
FC01-C01-U020	FC01	Definition/convention	disjoint-cycles		disjoint-cycles	missing	reuse	disjoint-cycles	exact match	foundational-corpus-mapping-fc01-dummit-foote.md
FC01-C01-U021	FC01	Convention	permutation-composition-convention		permutation-composition-convention	missing	reuse	permutation-composition-convention	broad match	foundational-corpus-mapping-fc01-dummit-foote.md
FC01-C01-U023	FC01	Convention/identity	cycle-rotation-notation		cycle-rotation-notation	missing	reuse	cycle-rotation-notation	exact match	foundational-corpus-mapping-fc01-dummit-foote.md
FC01-C01-U026	FC01	Notation/convention	finite-field-notation		finite-field-notation	missing	reuse	finite-field-notation	broad match	foundational-corpus-mapping-fc01-dummit-foote.md
FC01-C01-U027	FC01	Definition/example	field-multiplicative-group		field-multiplicative-group	missing	reuse	field-multiplicative-group	exact match	foundational-corpus-mapping-fc01-dummit-foote.md
FC01-C01-U028	FC01	Definition/construction	general-linear-group		general-linear-group	missing	reuse	general-linear-group	exact match	foundational-corpus-mapping-fc01-dummit-foote.md
FC01-C01-U031	FC01	Construction/definition	quaternion-group		quaternion-group	missing	reuse	quaternion-group	exact match	foundational-corpus-mapping-fc01-dummit-foote.md
FC01-C01-U032	FC01	Definition	group-homomorphism		group-homomorphism	missing	reuse	group-homomorphism	exact match	foundational-corpus-mapping-fc01-dummit-foote.md
FC01-C01-U033	FC01	Definition	group-isomorphism		group-isomorphism	missing	reuse	group-isomorphism	exact match	foundational-corpus-mapping-fc01-dummit-foote.md
FC01-C01-U039	FC01	Construction principle	hom-from-generators-relations		hom-from-generators-relations	missing	reuse	hom-from-generators-relations	exact match	foundational-corpus-mapping-fc01-dummit-foote.md
FC01-C01-U041	FC01	Definition	group-action		group-action	missing	reuse	group-action	exact match	foundational-corpus-mapping-fc01-dummit-foote.md
FC01-C01-U042	FC01	Construction	action-to-permutation-hom		action-to-permutation-hom	missing	reuse	action-to-permutation-hom	broad match	foundational-corpus-mapping-fc01-dummit-foote.md
FC01-C01-U043	FC01	Convention/definition	right-action		right-action	missing	reuse	right-action	broad match	foundational-corpus-mapping-fc01-dummit-foote.md
FC01-C01-U044	FC01	Definition/example	trivial-action		trivial-action	missing	reuse	trivial-action	exact match	foundational-corpus-mapping-fc01-dummit-foote.md
FC01-C01-U045	FC01	Definition	faithful-action-kernel		faithful-action-kernel	missing	reuse	faithful-action-kernel	exact match	foundational-corpus-mapping-fc01-dummit-foote.md
FC01-C01-U048	FC01	Reusable construction	left-regular-action		left-regular-action	missing	reuse	left-regular-action	exact match	foundational-corpus-mapping-fc01-dummit-foote.md
FC01-C02-U001	FC01	Definition	subgroup		subgroup	mathlib	reuse	subgroup	exact match	foundational-corpus-mapping-fc01-dummit-foote.md
FC01-C02-U004	FC01	Definition	centralizer		centralizer	mathlib	reuse	centralizer	exact match	foundational-corpus-mapping-fc01-dummit-foote.md
FC01-C02-U005	FC01	Convention/notation	singleton-centralizer-notation		singleton-centralizer-notation	mathlib	reuse	singleton-centralizer-notation	exact match	foundational-corpus-mapping-fc01-dummit-foote.md
FC01-C02-U006	FC01	Definition	center		center	mathlib	reuse	center	exact match	foundational-corpus-mapping-fc01-dummit-foote.md
FC01-C02-U007	FC01	Construction/notation	conjugate-subset		conjugate-subset	mathlib	reuse	conjugate-subset	exact match	foundational-corpus-mapping-fc01-dummit-foote.md
FC01-C02-U008	FC01	Definition	normalizer		normalizer	mathlib	reuse	normalizer	exact match	foundational-corpus-mapping-fc01-dummit-foote.md
FC01-C02-U009	FC01	Definition	stabilizer		stabilizer	mathlib	reuse	stabilizer	exact match	foundational-corpus-mapping-fc01-dummit-foote.md
FC01-C02-U010	FC01	Definition	action-kernel		action-kernel	mathlib	reuse	action-kernel	exact match	foundational-corpus-mapping-fc01-dummit-foote.md
FC01-C02-U013	FC01	Construction/comparison	conjugation-action-powerset		conjugation-action-powerset	mathlib	reuse	conjugation-action-powerset	broad match	foundational-corpus-mapping-fc01-dummit-foote.md
FC01-C02-U016	FC01	Definition	cyclic-group		cyclic-group	mathlib	reuse	cyclic-group	exact match	foundational-corpus-mapping-fc01-dummit-foote.md
FC01-C02-U017	FC01	Construction/algorithm	cyclic-power-reduction		cyclic-power-reduction	mathlib	reuse	cyclic-power-reduction	exact match	foundational-corpus-mapping-fc01-dummit-foote.md
FC01-C02-U021	FC01	Notation/convention	Zn-cyclic-notation		Zn-cyclic-notation	mathlib	reuse	Zn-cyclic-notation	exact match	foundational-corpus-mapping-fc01-dummit-foote.md
FC01-C02-U026	FC01	Definition/construction	generated-subgroup		generated-subgroup	mathlib	reuse	generated-subgroup	exact match	foundational-corpus-mapping-fc01-dummit-foote.md
FC01-C02-U027	FC01	Construction	word-closure		word-closure	mathlib	reuse	word-closure	exact match	foundational-corpus-mapping-fc01-dummit-foote.md
FC01-C02-U029	FC01	Corollary/construction	abelian-generated-normal-form		abelian-generated-normal-form	mathlib	reuse	abelian-generated-normal-form	broad match	foundational-corpus-mapping-fc01-dummit-foote.md
FC01-C02-U032	FC01	Construction/definition	subgroup-lattice		subgroup-lattice	mathlib	reuse	subgroup-lattice	broad match	foundational-corpus-mapping-fc01-dummit-foote.md
FC01-C02-U033	FC01	Definition/comparison	join-subgroups		join-subgroups	mathlib	reuse	join-subgroups	exact match	foundational-corpus-mapping-fc01-dummit-foote.md
FC01-C02-U038	FC01	Convention	partial-sublattice-convention		partial-sublattice-convention	mathlib	reuse	partial-sublattice-convention	broad match	foundational-corpus-mapping-fc01-dummit-foote.md
FC01-C03-U001	FC01	Definition	homomorphism-kernel		homomorphism-kernel	mathlib	reuse	homomorphism-kernel	exact match	foundational-corpus-mapping-fc01-dummit-foote.md
FC01-C03-U003	FC01	Definition/construction	quotient-as-fibers		quotient-as-fibers	mathlib	reuse	quotient-as-fibers	broad match	foundational-corpus-mapping-fc01-dummit-foote.md
FC01-C03-U005	FC01	Definition/notation	left-right-cosets		left-right-cosets	mathlib	reuse	left-right-cosets	exact match	foundational-corpus-mapping-fc01-dummit-foote.md
FC01-C03-U006	FC01	Convention	additive-coset-notation		additive-coset-notation	mathlib	reuse	additive-coset-notation	exact match	foundational-corpus-mapping-fc01-dummit-foote.md
FC01-C03-U008	FC01	Convention/notation	quotient-bar-notation		quotient-bar-notation	mathlib	reuse	quotient-bar-notation	broad match	foundational-corpus-mapping-fc01-dummit-foote.md
FC01-C03-U014	FC01	Definition	conjugate-element-subgroup-normal		conjugate-element-subgroup-normal	mathlib	reuse	conjugate-element-subgroup-normal	exact match	foundational-corpus-mapping-fc01-dummit-foote.md
FC01-C03-U017	FC01	Definition	natural-projection-group		natural-projection-group	mathlib	reuse	natural-projection-group	exact match	foundational-corpus-mapping-fc01-dummit-foote.md
FC01-C03-U019	FC01	Definition/notation	group-index		group-index	mathlib	review	group-index	partial match / wrong interface	foundational-corpus-mapping-fc01-dummit-foote.md
FC01-C03-U023	FC01	Definition	simple-group-first-definition		simple-group-first-definition	mathlib	reuse	simple-group-first-definition	broad match	foundational-corpus-mapping-fc01-dummit-foote.md
FC01-C03-U026	FC01	Definition	subgroup-set-product		subgroup-set-product	mathlib	reuse	subgroup-set-product	exact match	foundational-corpus-mapping-fc01-dummit-foote.md
FC01-C03-U030	FC01	Definition	subset-normalizes-centralizes		subset-normalizes-centralizes	mathlib	reuse	subset-normalizes-centralizes	exact match	foundational-corpus-mapping-fc01-dummit-foote.md
FC01-C03-U031	FC01	Convention	coset-space-notation-convention		coset-space-notation-convention	mathlib	review	coset-space-notation-convention	partial match / wrong interface	foundational-corpus-mapping-fc01-dummit-foote.md
FC01-C03-U037	FC01	Construction/convention	factor-through-quotient		factor-through-quotient	mathlib	reuse	factor-through-quotient	exact match	foundational-corpus-mapping-fc01-dummit-foote.md
FC01-C03-U039	FC01	Definition	simple-group		simple-group	mathlib	reuse	simple-group	exact match	foundational-corpus-mapping-fc01-dummit-foote.md
FC01-C03-U040	FC01	Definition	composition-series		composition-series	mathlib	review	composition-series	partial match / wrong interface	foundational-corpus-mapping-fc01-dummit-foote.md
FC01-C03-U044	FC01	Construction/comparison	extension-problem		extension-problem	mathlib	reuse	extension-problem	broad match	foundational-corpus-mapping-fc01-dummit-foote.md
FC01-C03-U045	FC01	Definition	solvable-group		solvable-group	mathlib	reuse	solvable-group	broad match	foundational-corpus-mapping-fc01-dummit-foote.md
FC01-C03-U047	FC01	Definition	transposition		transposition	mathlib	reuse	transposition	exact match	foundational-corpus-mapping-fc01-dummit-foote.md
FC01-C03-U049	FC01	Construction	vandermonde-sign-construction		vandermonde-sign-construction	mathlib	review	vandermonde-sign-construction	partial match / wrong interface	foundational-corpus-mapping-fc01-dummit-foote.md
FC01-C03-U050	FC01	Definition	permutation-sign-parity		permutation-sign-parity	mathlib	reuse	permutation-sign-parity	exact match	foundational-corpus-mapping-fc01-dummit-foote.md
FC01-C03-U053	FC01	Definition	alternating-group		alternating-group	mathlib	reuse	alternating-group	exact match	foundational-corpus-mapping-fc01-dummit-foote.md
FC01-C04-U001	FC01	Definition	action-kernel-stabilizer-faithful-recap		action-kernel-stabilizer-faithful-recap	mathlib	reuse	action-kernel-stabilizer-faithful-recap	exact match	foundational-corpus-mapping-fc01-dummit-foote.md
FC01-C04-U004	FC01	Definition	permutation-representation		permutation-representation	mathlib	reuse	permutation-representation	exact match	foundational-corpus-mapping-fc01-dummit-foote.md
FC01-C04-U006	FC01	Definition	orbit-transitive		orbit-transitive	mathlib	reuse	orbit-transitive	exact match	foundational-corpus-mapping-fc01-dummit-foote.md
FC01-C04-U007	FC01	Construction/comparison	cycle-decomposition-from-orbits		cycle-decomposition-from-orbits	mathlib	reuse	cycle-decomposition-from-orbits	broad match	foundational-corpus-mapping-fc01-dummit-foote.md
FC01-C04-U008	FC01	Definition/convention	permutation-group		permutation-group	mathlib	reuse	permutation-group	broad match	foundational-corpus-mapping-fc01-dummit-foote.md
FC01-C04-U009	FC01	Construction	coset-left-action		coset-left-action	mathlib	reuse	coset-left-action	exact match	foundational-corpus-mapping-fc01-dummit-foote.md
FC01-C04-U012	FC01	Definition	left-regular-representation		left-regular-representation	mathlib	reuse	left-regular-representation	broad match	foundational-corpus-mapping-fc01-dummit-foote.md
FC01-C04-U014	FC01	Definition	conjugate-elements-classes		conjugate-elements-classes	mathlib	reuse	conjugate-elements-classes	exact match	foundational-corpus-mapping-fc01-dummit-foote.md
FC01-C04-U015	FC01	Definition	conjugate-subsets		conjugate-subsets	mathlib	reuse	conjugate-subsets	exact match	foundational-corpus-mapping-fc01-dummit-foote.md
FC01-C04-U021	FC01	Definition	cycle-type-partition		cycle-type-partition	mathlib	review	cycle-type-partition	partial match / wrong interface	foundational-corpus-mapping-fc01-dummit-foote.md
FC01-C04-U024	FC01	Definition/convention	right-action-revisited		right-action-revisited	mathlib	reuse	right-action-revisited	broad match	foundational-corpus-mapping-fc01-dummit-foote.md
FC01-C04-U025	FC01	Convention/notation	right-conjugation-notation		right-conjugation-notation	mathlib	reuse	right-conjugation-notation	broad match	foundational-corpus-mapping-fc01-dummit-foote.md
FC01-C04-U026	FC01	Definition	automorphism		automorphism	mathlib	reuse	automorphism	exact match	foundational-corpus-mapping-fc01-dummit-foote.md
FC01-C04-U030	FC01	Definition	inner-automorphism		inner-automorphism	mathlib	reuse	inner-automorphism	broad match	foundational-corpus-mapping-fc01-dummit-foote.md
FC01-C04-U031	FC01	Definition	characteristic-subgroup		characteristic-subgroup	mathlib	reuse	characteristic-subgroup	exact match	foundational-corpus-mapping-fc01-dummit-foote.md
FC01-C04-U035	FC01	Definition/comparison	elementary-abelian-group		elementary-abelian-group	mathlib	reuse	elementary-abelian-group	broad match	foundational-corpus-mapping-fc01-dummit-foote.md
FC01-C04-U036	FC01	Definition/notation	p-group-p-subgroup-sylow		p-group-p-subgroup-sylow	mathlib	reuse	p-group-p-subgroup-sylow	exact match	foundational-corpus-mapping-fc01-dummit-foote.md
FC01-C05-U001	FC01	Definition/construction	direct-product-finite-countable		direct-product-finite-countable	mathlib	reuse	direct-product-finite-countable	exact match	foundational-corpus-mapping-fc01-dummit-foote.md
FC01-C05-U002	FC01	Convention	direct-product-multiplicative-convention		direct-product-multiplicative-convention	mathlib	reuse	direct-product-multiplicative-convention	exact match	foundational-corpus-mapping-fc01-dummit-foote.md
FC01-C05-U005	FC01	Definition	finitely-generated-group		finitely-generated-group	mathlib	reuse	finitely-generated-group	exact match	foundational-corpus-mapping-fc01-dummit-foote.md
FC01-C05-U006	FC01	Definition/notation	free-abelian-Zr		free-abelian-Zr	mathlib	reuse	free-abelian-Zr	broad match	foundational-corpus-mapping-fc01-dummit-foote.md
FC01-C05-U008	FC01	Definition	free-rank-invariant-factors		free-rank-invariant-factors	mathlib	review	free-rank-invariant-factors	partial match / wrong interface	foundational-corpus-mapping-fc01-dummit-foote.md
FC01-C05-U009	FC01	Definition	finite-abelian-type		finite-abelian-type	unmatched	search	finite-abelian-type	unmatched after search	foundational-corpus-mapping-fc01-dummit-foote.md
FC01-C05-U010	FC01	Construction/comparison	finite-abelian-classification-sequences		finite-abelian-classification-sequences	unmatched	search	finite-abelian-classification-sequences	unmatched after search	foundational-corpus-mapping-fc01-dummit-foote.md
FC01-C05-U013	FC01	Definition	elementary-divisors		elementary-divisors	unmatched	search	elementary-divisors	unmatched after search	foundational-corpus-mapping-fc01-dummit-foote.md
FC01-C05-U016	FC01	Construction	invariant-elementary-conversion		invariant-elementary-conversion	unmatched	search	invariant-elementary-conversion	unmatched after search	foundational-corpus-mapping-fc01-dummit-foote.md
FC01-C05-U017	FC01	Definition	finite-abelian-rank-exponent		finite-abelian-rank-exponent	mathlib	review	finite-abelian-rank-exponent	partial match / wrong interface	foundational-corpus-mapping-fc01-dummit-foote.md
FC01-C05-U023	FC01	Definition/notation	commutator-subgroup		commutator-subgroup	mathlib	reuse	commutator-subgroup	exact match	foundational-corpus-mapping-fc01-dummit-foote.md
FC01-C05-U025	FC01	Construction/terminology	abelianization		abelianization	mathlib	reuse	abelianization	exact match	foundational-corpus-mapping-fc01-dummit-foote.md
FC01-C05-U029	FC01	Definition	internal-external-direct-product		internal-external-direct-product	mathlib	reuse	internal-external-direct-product	broad match	foundational-corpus-mapping-fc01-dummit-foote.md
FC01-C05-U032	FC01	Definition/notation	semidirect-product		semidirect-product	mathlib	reuse	semidirect-product	exact match	foundational-corpus-mapping-fc01-dummit-foote.md
FC01-C05-U034	FC01	Reusable named construction	generalized-dihedral-construction		generalized-dihedral-construction	mathlib	reuse	generalized-dihedral-construction	broad match	foundational-corpus-mapping-fc01-dummit-foote.md
FC01-C05-U035	FC01	Reusable named construction	generalized-quaternion		generalized-quaternion	mathlib	reuse	generalized-quaternion	broad match	foundational-corpus-mapping-fc01-dummit-foote.md
FC01-C05-U036	FC01	Definition/construction	holomorph		holomorph	unmatched	search	holomorph	unmatched after search	foundational-corpus-mapping-fc01-dummit-foote.md
FC01-C05-U037	FC01	Reusable construction	nonabelian-order-pq-construction		nonabelian-order-pq-construction	reference-port	port	nonabelian-order-pq-construction	broad match	foundational-corpus-mapping-fc01-dummit-foote.md
FC01-C05-U042	FC01	Definition	complement		complement	mathlib	reuse	complement	exact match	foundational-corpus-mapping-fc01-dummit-foote.md
FC01-C06-U001	FC01	Definition	maximal-subgroup		maximal-subgroup	mathlib	reuse	maximal-subgroup	exact match	foundational-corpus-mapping-fc01-dummit-foote.md
FC01-C06-U003	FC01	Definition/construction	upper-central-series		upper-central-series	mathlib	reuse	upper-central-series	exact match	foundational-corpus-mapping-fc01-dummit-foote.md
FC01-C06-U004	FC01	Definition	nilpotent-group-class		nilpotent-group-class	mathlib	reuse	nilpotent-group-class	exact match	foundational-corpus-mapping-fc01-dummit-foote.md
FC01-C06-U005	FC01	Definition/notation	hypercenter-hypernilpotent		hypercenter-hypernilpotent	unmatched	search	hypercenter-hypernilpotent	unmatched after search	foundational-corpus-mapping-fc01-dummit-foote.md
FC01-C06-U012	FC01	Definition/construction	lower-central-series		lower-central-series	mathlib	reuse	lower-central-series	exact match	foundational-corpus-mapping-fc01-dummit-foote.md
FC01-C06-U014	FC01	Definition/construction	derived-series		derived-series	mathlib	reuse	derived-series	exact match	foundational-corpus-mapping-fc01-dummit-foote.md
FC01-C06-U016	FC01	Definition	solvable-length		solvable-length	unmatched	search	solvable-length	unmatched after search	foundational-corpus-mapping-fc01-dummit-foote.md
FC01-C06-U019	FC01	Definition	sylow-p-complement		sylow-p-complement	mathlib	reuse	sylow-p-complement	broad match	foundational-corpus-mapping-fc01-dummit-foote.md
FC01-C06-U024	FC01	Construction	simple168-incidence-geometry		simple168-incidence-geometry	unmatched	search	simple168-incidence-geometry	unmatched after search	foundational-corpus-mapping-fc01-dummit-foote.md
FC01-C06-U025	FC01	Definition/construction	fano-plane		fano-plane	mathlib	reuse	fano-plane	broad match	foundational-corpus-mapping-fc01-dummit-foote.md
FC01-C06-U026	FC01	Definition	fano-plane-automorphism		fano-plane-automorphism	unmatched	search	fano-plane-automorphism	unmatched after search	foundational-corpus-mapping-fc01-dummit-foote.md
FC01-C06-U027	FC01	Construction/comparison	Fano-GL3F2-model		Fano-GL3F2-model	mathlib	review	Fano-GL3F2-model	partial match / wrong interface	foundational-corpus-mapping-fc01-dummit-foote.md
FC01-C06-U029	FC01	Construction	formal-inverse-alphabet		formal-inverse-alphabet	mathlib	reuse	formal-inverse-alphabet	broad match	foundational-corpus-mapping-fc01-dummit-foote.md
FC01-C06-U030	FC01	Definition	word-on-set		word-on-set	mathlib	reuse	word-on-set	broad match	foundational-corpus-mapping-fc01-dummit-foote.md
FC01-C06-U031	FC01	Definition	reduced-word		reduced-word	mathlib	reuse	reduced-word	broad match	foundational-corpus-mapping-fc01-dummit-foote.md
FC01-C06-U032	FC01	Construction	free-word-set		free-word-set	mathlib	reuse	free-word-set	broad match	foundational-corpus-mapping-fc01-dummit-foote.md
FC01-C06-U033	FC01	Construction	free-word-multiplication		free-word-multiplication	mathlib	reuse	free-word-multiplication	broad match	foundational-corpus-mapping-fc01-dummit-foote.md
FC01-C06-U037	FC01	Definition	free-group-basis-rank		free-group-basis-rank	mathlib	review	free-group-basis-rank	partial match / wrong interface	foundational-corpus-mapping-fc01-dummit-foote.md
FC01-C06-U039	FC01	Definition	presentation-rigorous		presentation-rigorous	mathlib	reuse	presentation-rigorous	exact match	foundational-corpus-mapping-fc01-dummit-foote.md
FC01-C06-U040	FC01	Convention/notation	presentation-notation		presentation-notation	mathlib	reuse	presentation-notation	broad match	foundational-corpus-mapping-fc01-dummit-foote.md
FC01-C06-U042	FC01	Construction criterion	presentation-recognition-finite		presentation-recognition-finite	mathlib	reuse	presentation-recognition-finite	broad match	foundational-corpus-mapping-fc01-dummit-foote.md
FC01-C07-U001	FC01	Definition	ring		ring	mathlib	reuse	ring	exact match	foundational-corpus-mapping-fc01-dummit-foote.md
FC01-C07-U002	FC01	Convention/notation	ring-notation		ring-notation	mathlib	reuse	ring-notation	exact match	foundational-corpus-mapping-fc01-dummit-foote.md
FC01-C07-U003	FC01	Definition	division-ring-field		division-ring-field	mathlib	reuse	division-ring-field	exact match	foundational-corpus-mapping-fc01-dummit-foote.md
FC01-C07-U005	FC01	Reusable named construction	hamilton-quaternions-ring		hamilton-quaternions-ring	mathlib	reuse	hamilton-quaternions-ring	exact match	foundational-corpus-mapping-fc01-dummit-foote.md
FC01-C07-U006	FC01	Reusable construction	function-ring		function-ring	mathlib	reuse	function-ring	exact match	foundational-corpus-mapping-fc01-dummit-foote.md
FC01-C07-U007	FC01	Definition/example	compact-support		compact-support	mathlib	reuse	compact-support	broad match	foundational-corpus-mapping-fc01-dummit-foote.md
FC01-C07-U009	FC01	Definition	zero-divisor-unit		zero-divisor-unit	mathlib	reuse	zero-divisor-unit	broad match	foundational-corpus-mapping-fc01-dummit-foote.md
FC01-C07-U011	FC01	Reusable named construction	quadratic-field		quadratic-field	mathlib	reuse	quadratic-field	broad match	foundational-corpus-mapping-fc01-dummit-foote.md
FC01-C07-U012	FC01	Definition/comparison	squarefree-part		squarefree-part	unmatched	search	squarefree-part	unmatched after search	foundational-corpus-mapping-fc01-dummit-foote.md
FC01-C07-U013	FC01	Definition	integral-domain		integral-domain	mathlib	reuse	integral-domain	exact match	foundational-corpus-mapping-fc01-dummit-foote.md
FC01-C07-U017	FC01	Definition/criterion	subring		subring	mathlib	reuse	subring	exact match	foundational-corpus-mapping-fc01-dummit-foote.md
FC01-C07-U020	FC01	Reusable named construction	quadratic-integer-ring		quadratic-integer-ring	mathlib	review	quadratic-integer-ring	partial match / wrong interface	foundational-corpus-mapping-fc01-dummit-foote.md
FC01-C07-U021	FC01	Definition/construction	quadratic-field-norm		quadratic-field-norm	mathlib	review	quadratic-field-norm	partial match / wrong interface	foundational-corpus-mapping-fc01-dummit-foote.md
FC01-C07-U026	FC01	Definition/construction	polynomial-ring		polynomial-ring	mathlib	reuse	polynomial-ring	exact match	foundational-corpus-mapping-fc01-dummit-foote.md
FC01-C07-U027	FC01	Construction	polynomial-operations		polynomial-operations	mathlib	reuse	polynomial-operations	exact match	foundational-corpus-mapping-fc01-dummit-foote.md
FC01-C07-U028	FC01	Construction/comparison	polynomial-constants		polynomial-constants	mathlib	reuse	polynomial-constants	exact match	foundational-corpus-mapping-fc01-dummit-foote.md
FC01-C07-U030	FC01	Definition/construction	matrix-ring		matrix-ring	mathlib	reuse	matrix-ring	exact match	foundational-corpus-mapping-fc01-dummit-foote.md
